node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
143 144 13 3.5607 3.7839 -0.0224 4.1473 4.5931 -0.0550 0.0580 1.0000 238.0000 23.8000 0.0000 18.0089 2.0000 
144 145 13 4.1473 4.5931 -0.0550 4.5749 5.1162 -0.1820 0.0580 0.6875 238.0000 23.8000 0.0000 20.0000 2.0000 
145 146 14 3.0078 3.3523 -3.9354 2.5090 3.5070 -4.7882 0.0541 1.0000 238.0000 23.8000 0.0000 9.8989 2.0000 
146 147 14 2.5090 3.5070 -4.7882 2.0077 3.7060 -5.6302 0.0541 0.9999 238.0000 23.8000 0.0000 11.6207 2.0000 
147 148 14 2.0077 3.7060 -5.6302 1.4972 3.9228 -6.4623 0.0541 1.0000 238.0000 23.8000 0.0000 13.5222 2.0000 
148 149 14 1.4972 3.9228 -6.4623 1.0429 4.1152 -7.3321 0.0541 1.0000 238.0000 23.8000 0.0000 15.6451 2.0000 
149 150 14 1.0429 4.1152 -7.3321 0.6215 4.3065 -8.2186 0.0541 1.0000 238.0000 23.8000 0.0000 18.0481 2.0000 
150 151 14 0.6215 4.3065 -8.2186 0.3027 4.4472 -8.8494 0.0541 0.7207 238.0000 23.8000 0.0000 20.0000 2.0000 
151 152 15 3.3676 3.7226 -4.0967 3.2684 4.1325 -3.1900 0.0496 1.0000 238.0000 23.8000 0.0000 9.8021 2.0000 
152 153 15 3.2684 4.1325 -3.1900 3.2007 4.5101 -2.2667 0.0496 0.9998 238.0000 23.8000 0.0000 11.2156 2.0000 
153 154 15 3.2007 4.5101 -2.2667 3.1660 4.9666 -1.3776 0.0496 1.0000 238.0000 23.8000 0.0000 12.8436 2.0000 
154 155 15 3.1660 4.9666 -1.3776 3.1786 5.4344 -0.4939 0.0496 1.0000 238.0000 23.8000 0.0000 14.7630 2.0000 
155 156 15 3.1786 5.4344 -0.4939 3.1676 6.3197 -0.0289 0.0496 1.0000 238.0000 23.8000 0.0000 17.1013 2.0000 
156 157 15 3.1676 6.3197 -0.0289 3.0219 7.2812 -0.0455 0.0496 0.9726 238.0000 23.8000 0.0000 20.0000 2.0000 
157 158 16 3.6857 4.0139 -4.2312 4.5457 3.6362 -3.8883 0.0480 0.9999 238.0000 23.8000 0.0000 10.0845 2.0000 
158 159 16 4.5457 3.6362 -3.8883 5.4049 3.3321 -3.4770 0.0480 1.0000 238.0000 23.8000 0.0000 11.6138 2.0000 
159 160 16 5.4049 3.3321 -3.4770 6.2643 3.0289 -3.0653 0.0480 1.0000 238.0000 23.8000 0.0000 13.3930 2.0000 
160 161 16 6.2643 3.0289 -3.0653 7.1184 2.7184 -2.6479 0.0480 1.0000 238.0000 23.8000 0.0000 15.5202 2.0000 
161 162 16 7.1184 2.7184 -2.6479 8.0315 2.3604 -2.4528 0.0480 1.0000 238.0000 23.8000 0.0000 18.1654 2.0000 
162 163 16 8.0315 2.3604 -2.4528 8.5518 2.1710 -2.3452 0.0480 0.5641 238.0000 23.8000 0.0000 20.0000 2.0000 
163 164 17 4.0402 4.3831 -4.3665 3.4578 4.4691 -5.1732 0.0513 0.9987 238.0000 23.8000 0.0000 10.5769 2.0000 
164 165 17 3.4578 4.4691 -5.1732 2.9069 4.5854 -5.9996 0.0513 1.0000 238.0000 23.8000 0.0000 12.4099 2.0000 
165 166 17 2.9069 4.5854 -5.9996 2.2541 4.7026 -6.7480 0.0513 1.0000 238.0000 23.8000 0.0000 14.5386 2.0000 
166 167 17 2.2541 4.7026 -6.7480 1.5849 4.8349 -7.4792 0.0513 1.0000 238.0000 23.8000 0.0000 17.0772 2.0000 
167 168 17 1.5849 4.8349 -7.4792 1.0330 4.9397 -8.2291 0.0513 0.9370 238.0000 23.8000 0.0000 20.0000 2.0000 
168 169 18 4.4185 4.7210 -4.5026 4.4558 4.9658 -3.5360 0.0502 0.9978 238.0000 23.8000 0.0000 10.8689 2.0000 
169 170 18 4.4558 4.9658 -3.5360 4.4807 5.2412 -2.5749 0.0502 1.0000 238.0000 23.8000 0.0000 12.7418 2.0000 
170 171 18 4.4807 5.2412 -2.5749 4.4835 5.3733 -1.5837 0.0502 1.0000 238.0000 23.8000 0.0000 14.8595 2.0000 
171 172 18 4.4835 5.3733 -1.5837 4.4870 5.5512 -0.5997 0.0502 1.0000 238.0000 23.8000 0.0000 17.2959 2.0000 
172 173 18 4.4870 5.5512 -0.5997 4.9327 6.2041 -0.0775 0.0502 0.9474 238.0000 23.8000 0.0000 20.0000 2.0000 
173 174 19 4.7083 4.9646 -4.6486 5.4727 4.3826 -4.3713 0.0513 0.9999 238.0000 23.8000 0.0000 10.8602 2.0000 
174 175 19 5.4727 4.3826 -4.3713 6.2033 3.7677 -4.0743 0.0513 1.0000 238.0000 23.8000 0.0000 12.5516 2.0000 
175 176 19 6.2033 3.7677 -4.0743 6.9330 3.1581 -3.7647 0.0513 1.0000 238.0000 23.8000 0.0000 14.4947 2.0000 
176 177 19 6.9330 3.1581 -3.7647 7.5182 2.3939 -3.4934 0.0513 1.0000 238.0000 23.8000 0.0000 16.7780 2.0000 
177 178 19 7.5182 2.3939 -3.4934 8.0669 1.6238 -3.1680 0.0513 1.0000 238.0000 23.8000 0.0000 19.5463 2.0000 
178 179 19 8.0669 1.6238 -3.1680 8.1477 1.5137 -3.1206 0.0513 0.1446 238.0000 23.8000 0.0000 20.0000 2.0000 
179 180 20 5.0858 5.2612 -4.8315 5.7355 4.7518 -4.2673 0.0483 1.0000 238.0000 23.8000 0.0000 10.9102 2.0000 
180 181 20 5.7355 4.7518 -4.2673 6.4790 4.2779 -3.7955 0.0483 1.0000 238.0000 23.8000 0.0000 12.3839 2.0000 
181 182 20 6.4790 4.2779 -3.7955 7.1270 3.6652 -3.3430 0.0483 1.0000 238.0000 23.8000 0.0000 14.0391 2.0000 
182 183 20 7.1270 3.6652 -3.3430 7.7993 3.0311 -2.9611 0.0483 1.0000 238.0000 23.8000 0.0000 15.9269 2.0000 
183 184 20 7.7993 3.0311 -2.9611 8.4954 2.4138 -2.5944 0.0483 1.0000 238.0000 23.8000 0.0000 18.1235 2.0000 
184 185 20 8.4954 2.4138 -2.5944 8.9403 1.9070 -2.3047 0.0483 0.7340 238.0000 23.8000 0.0000 20.0000 2.0000 
185 186 21 5.5501 5.6247 -5.0533 5.8098 4.8831 -5.6704 0.0500 0.9991 238.0000 23.8000 0.0000 11.4890 2.0000 
